2011,1,6,0,54
2011,1,20,18,18
2011,2,4,12,32
2011,2,19,8,25
2011,3,6,6,29
2011,3,21,7,20
2011,4,5,11,11
2011,4,20,18,17
2011,5,6,4,23
2011,5,21,17,21
2011,6,6,8,27
2011,6,22,1,16
2011,7,7,18,42
2011,7,23,12,11
2011,8,8,4,33
2011,8,23,19,20
2011,9,8,7,34
2011,9,23,17,4
2011,10,8,23,19
2011,10,24,2,30
2011,11,8,2,34
2011,11,23,0,7
2011,12,7,19,29
2011,12,22,13,30
2012,1,6,6,43
2012,1,21,0,9
2012,2,4,18,22
2012,2,19,14,17
2012,3,5,12,21
2012,3,20,13,14
2012,4,4,17,5
2012,4,20,0,12
2012,5,5,10,19
2012,5,20,23,15
2012,6,5,14,25
2012,6,21,7,8
2012,7,7,0,40
2012,7,22,18,0
2012,8,7,10,30
2012,8,23,1,6
2012,9,7,13,29
2012,9,22,22,48
2012,10,8,5,11
2012,10,23,8,13
2012,11,7,8,25
2012,11,22,5,50
2012,12,7,1,18
2012,12,21,19,11
2013,1,5,12,33
2013,1,20,5,51
2013,2,4,0,13
2013,2,18,20,1
2013,3,5,18,14
2013,3,20,19,1
2013,4,4,23,2
2013,4,20,6,3
2013,5,5,16,18
2013,5,21,5,9
2013,6,5,20,23
2013,6,21,13,3
2013,7,7,6,34
2013,7,22,23,56
2013,8,7,16,20
2013,8,23,7,1
2013,9,7,19,16
2013,9,23,4,44
2013,10,8,10,58
2013,10,23,14,9
2013,11,7,14,13
2013,11,22,11,48
2013,12,7,7,8
2013,12,22,1,11
2014,1,5,18,24
2014,1,20,11,51
2014,2,4,6,3
2014,2,19,1,59
2014,3,6,0,2
2014,3,21,0,57
2014,4,5,4,46
2014,4,20,11,55
2014,5,5,21,59
2014,5,21,10,59
2014,6,6,2,3
2014,6,21,18,51
2014,7,7,12,14
2014,7,23,5,41
2014,8,7,22,2
2014,8,23,12,46
2014,9,8,1,1
2014,9,23,10,29
2014,10,8,16,47
2014,10,23,19,57
2014,11,7,20,6
2014,11,22,17,38
2014,12,7,13,4
2014,12,22,7,3
2015,1,6,0,20
2015,1,20,17,43
2015,2,4,11,58
2015,2,19,7,49
2015,3,6,5,55
2015,3,21,6,45
2015,4,5,10,39
2015,4,20,17,41
2015,5,6,3,52
2015,5,21,16,44
2015,6,6,7,58
2015,6,22,0,37
2015,7,7,18,12
2015,7,23,11,30
2015,8,8,4,1
2015,8,23,18,37
2015,9,8,6,59
2015,9,23,16,20
2015,10,8,22,42
2015,10,24,1,46
2015,11,8,1,58
2015,11,22,23,25
2015,12,7,18,53
2015,12,22,12,47
